sha,html_url,repo,committer_login
c292a141fdcc4b93114682e25e98f4d8fc0eb1e7,https://github.com/davicaetano/synapse/commit/c292a141fdcc4b93114682e25e98f4d8fc0eb1e7,davicaetano/synapse,davicaetano
341499cb55a19a83f71a2868959ec475ebe565fb,https://github.com/IBM/ibmi-mcp-server/commit/341499cb55a19a83f71a2868959ec475ebe565fb,IBM/ibmi-mcp-server,web-flow
4547281a749d68104f76146eb267d39fd2a83de0,https://github.com/anny-whatever/frappeDocChat/commit/4547281a749d68104f76146eb267d39fd2a83de0,anny-whatever/frappeDocChat,anny-whatever
ff63d14a5d418547a30a2db73144c65c495274ce,https://github.com/jituhooda/langflow/commit/ff63d14a5d418547a30a2db73144c65c495274ce,jituhooda/langflow,web-flow
447a09ce9a9e4c98ea60d0eb051e01a3cf973bab,https://github.com/ckrough/file-classifier/commit/447a09ce9a9e4c98ea60d0eb051e01a3cf973bab,ckrough/file-classifier,ckrough
963722943a6f7d09976f7005a76db616e8462fcf,https://github.com/Lokesh-Tallapaneni/Amazon-Affliate-Dashboard/commit/963722943a6f7d09976f7005a76db616e8462fcf,Lokesh-Tallapaneni/Amazon-Affliate-Dashboard,Lokesh-Tallapaneni
11239e811727345d145e0ad3e8ca6630d3a0d4d6,https://github.com/sadiqabbas192/rag-for-hq-books/commit/11239e811727345d145e0ad3e8ca6630d3a0d4d6,sadiqabbas192/rag-for-hq-books,sadiqabbas192
c42f3297481c06ec88227976f070493dc1056ce0,https://github.com/Walkover-Web-Solution/AI-middleware/commit/c42f3297481c06ec88227976f070493dc1056ce0,Walkover-Web-Solution/AI-middleware,web-flow
1c8af2e6f83b7df7262df8995f641f5d02828dce,https://github.com/Walkover-Web-Solution/AI-middleware/commit/1c8af2e6f83b7df7262df8995f641f5d02828dce,Walkover-Web-Solution/AI-middleware,web-flow
7f89d38b161926a5bca0f1c5a23accaf1b6d6d36,https://github.com/Walkover-Web-Solution/AI-middleware/commit/7f89d38b161926a5bca0f1c5a23accaf1b6d6d36,Walkover-Web-Solution/AI-middleware,web-flow
de6c20234bb3876bf69a4539642d6134689903b2,https://github.com/verida/data-connector-server/commit/de6c20234bb3876bf69a4539642d6134689903b2,verida/data-connector-server,web-flow
3a33cd649afd0b0f3df97778df0e5030efc8bc9f,https://github.com/verida/data-connector-server/commit/3a33cd649afd0b0f3df97778df0e5030efc8bc9f,verida/data-connector-server,web-flow
15782fb61cc88b0fb863043aedf7c618102d08b7,https://github.com/OSU-BMBL/BioMANIA-backend/commit/15782fb61cc88b0fb863043aedf7c618102d08b7,OSU-BMBL/BioMANIA-backend,web-flow
8d113397fe91cb1c2707408856c2d85014f047cb,https://github.com/verida/data-connector-server/commit/8d113397fe91cb1c2707408856c2d85014f047cb,verida/data-connector-server,web-flow
aacef32d3b33e8d24f68a7abfaf3535f78ad3fef,https://github.com/ai-shifu/ai-shifu/commit/aacef32d3b33e8d24f68a7abfaf3535f78ad3fef,ai-shifu/ai-shifu,web-flow
873ab1ffde523dd5bd48bc28b564e1b97f5698e7,https://github.com/flipdot/drinks-touch/commit/873ab1ffde523dd5bd48bc28b564e1b97f5698e7,flipdot/drinks-touch,web-flow
bb098a509ee544a7c5dad3172b43630df6932492,https://github.com/Tetsuro-Copa/langflow/commit/bb098a509ee544a7c5dad3172b43630df6932492,Tetsuro-Copa/langflow,web-flow
e5071c58aac17c3594ec52258de4a8c62f8cc418,https://github.com/LuisNSantana/cleo-agent/commit/e5071c58aac17c3594ec52258de4a8c62f8cc418,LuisNSantana/cleo-agent,LuisNSantana
38516e361bd258d6bdbe11559e5a8e17b4d60b76,https://github.com/dldx/climate-rag/commit/38516e361bd258d6bdbe11559e5a8e17b4d60b76,dldx/climate-rag,web-flow
468f8dd6e129faa25a3616d799a2659c4e20d243,https://github.com/RazumRu/ai-company/commit/468f8dd6e129faa25a3616d799a2659c4e20d243,RazumRu/ai-company,RazumRu
b2e865190de6c928515da301ca432e3fe1638333,https://github.com/X-oss-byte/Nextjs/commit/b2e865190de6c928515da301ca432e3fe1638333,X-oss-byte/Nextjs,web-flow
9f7332529850cceb0b1ab8138540796c6a47890e,https://github.com/ChatLunaLab/chatluna/commit/9f7332529850cceb0b1ab8138540796c6a47890e,ChatLunaLab/chatluna,web-flow
f0f82e2560b24affb53bfa7798179e159f9cc789,https://github.com/ziya-ai/ziya/commit/f0f82e2560b24affb53bfa7798179e159f9cc789,ziya-ai/ziya,web-flow
fd74f194ddb242e7cf356a3466d11f8253e69974,https://github.com/jituhooda/langflow/commit/fd74f194ddb242e7cf356a3466d11f8253e69974,jituhooda/langflow,web-flow
4bac3eb857bcb86c49918a318bcd31628a591d68,https://github.com/databricks-solutions/caspers-kitchens/commit/4bac3eb857bcb86c49918a318bcd31628a591d68,databricks-solutions/caspers-kitchens,web-flow
486b33e7aa714fa8e7cc013b09ebc826e9380835,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/486b33e7aa714fa8e7cc013b09ebc826e9380835,dulhara79/Seasonal_Travel_Recommender,web-flow
76b7c866c3740e50fd81478002866400f7190054,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/76b7c866c3740e50fd81478002866400f7190054,dulhara79/Seasonal_Travel_Recommender,web-flow
4a193252c1269fcb6ee49c9f7abd0ac9f537fcf9,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/4a193252c1269fcb6ee49c9f7abd0ac9f537fcf9,dulhara79/Seasonal_Travel_Recommender,web-flow
3131534186b530b1c64ac7144eba7293e59106e2,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/3131534186b530b1c64ac7144eba7293e59106e2,dulhara79/Seasonal_Travel_Recommender,web-flow
ed474b646fa0e6ec5c1c9d312e447aa2057e635b,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/ed474b646fa0e6ec5c1c9d312e447aa2057e635b,dulhara79/Seasonal_Travel_Recommender,web-flow
a294ccb83c102001c84d68e80eba87a8946fe638,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/a294ccb83c102001c84d68e80eba87a8946fe638,dulhara79/Seasonal_Travel_Recommender,web-flow
93064ed5fb4accb40b1da2b8ec7c9e9e7961e352,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/93064ed5fb4accb40b1da2b8ec7c9e9e7961e352,dulhara79/Seasonal_Travel_Recommender,web-flow
89de28e314914dd92c616a4d775cbcc9e2839566,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/89de28e314914dd92c616a4d775cbcc9e2839566,dulhara79/Seasonal_Travel_Recommender,web-flow
49711585dbc4f29e6c40a386552d4a4ae421cd13,https://github.com/dulhara79/Seasonal_Travel_Recommender/commit/49711585dbc4f29e6c40a386552d4a4ae421cd13,dulhara79/Seasonal_Travel_Recommender,web-flow
13105337fef66b3727df6725c6046f15e9e23718,https://github.com/mcp-use/mcp-use-ts/commit/13105337fef66b3727df6725c6046f15e9e23718,mcp-use/mcp-use-ts,web-flow
f4210aa1c214d097f9e08d969dcc541bde073667,https://github.com/mcp-use/mcp-use/commit/f4210aa1c214d097f9e08d969dcc541bde073667,mcp-use/mcp-use,web-flow
c30fe5f61d77beb62e4cbd5054d2056aca24f55d,https://github.com/X-oss-byte/Nextjs/commit/c30fe5f61d77beb62e4cbd5054d2056aca24f55d,X-oss-byte/Nextjs,web-flow
ed783b2aebf9bdad2de7fedcec3a9ba9e723e7f8,https://github.com/idvorkin/nlp/commit/ed783b2aebf9bdad2de7fedcec3a9ba9e723e7f8,idvorkin/nlp,idvorkin
c5a0f8555fecdf996f551f18cc695447f9b19427,https://github.com/X-oss-byte/Nextjs/commit/c5a0f8555fecdf996f551f18cc695447f9b19427,X-oss-byte/Nextjs,web-flow
9d350593699204f3f90dfc10ba10156fa845ab47,https://github.com/tenstorrent/tt-studio/commit/9d350593699204f3f90dfc10ba10156fa845ab47,tenstorrent/tt-studio,web-flow
e2d9590a8644054aa0d1ed7c191c8521fc9087cd,https://github.com/sjoshi60001/SJ-bedrock-agentcore-samples/commit/e2d9590a8644054aa0d1ed7c191c8521fc9087cd,sjoshi60001/SJ-bedrock-agentcore-samples,web-flow
75770fed7fdfa9b1f37b0668a2225378c48775af,https://github.com/lc708/YADRA-YetAnotherDeepResearchAgent/commit/75770fed7fdfa9b1f37b0668a2225378c48775af,lc708/YADRA-YetAnotherDeepResearchAgent,lc708
870dffbb894925deb75dd1a0361b1647a1397eec,https://github.com/gillianpb/crewai/commit/870dffbb894925deb75dd1a0361b1647a1397eec,gillianpb/crewai,web-flow
b8e5b48f98fbb7ccfe3516736737bac35693d606,https://github.com/Hacker0004/zyeta.backend/commit/b8e5b48f98fbb7ccfe3516736737bac35693d606,Hacker0004/zyeta.backend,web-flow
