BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
MANSA,Cereals,2013,9,11,"Paddy Dhan",MANSA,nan,nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 100 liter of wateracre",29.8764,75.489
SARDULGARH,Cereals,2013,9,18,"Paddy Dhan",MANSA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",29.8764,75.489
BUDHLADA,Cereals,2013,9,19,"Paddy Dhan",MANSA,nan,nan,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN rice CROP","sapray 500 gm blitox  in 100 liter of wateracre",29.8764,75.489
SARDULGARH,Cereals,2013,9,20,"Paddy Dhan",MANSA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",29.8764,75.489
SARDULGARH,Cereals,2013,9,23,"Paddy Dhan",MANSA,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",29.8764,75.489
KHAMANO,Cereals,2013,9,13,"Paddy Dhan","FATEHGARH SAHIB","Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 150 liter of wateracre",30.6634,76.3803
KOT-ISE-KHAN,Cereals,2013,9,7,"Paddy Dhan",MOGA,"Plant Protection",nan,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN  guar ","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.7878,75.1594
MOGA-I,Cereals,2013,9,17,"Paddy Dhan",MOGA,nan,JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","sapray 500 gm blitox 3 gm streptocyclin in 100 liter of wateracre",30.7878,75.1594
MALOUT,Cereals,2013,6,3,"Paddy Dhan",MUKTSAR,Seeds,JAYAD,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4692,74.5182
MALOUT,Cereals,2013,8,12,"Paddy Dhan",MUKTSAR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4692,74.5182
MUKTSAR,Cereals,2013,8,28,"Paddy Dhan",MUKTSAR,nan,JAYAD,AGRICULTURE,PUNJAB,"HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM OR STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4692,74.5182
MUKTSAR,Cereals,2013,8,29,"Paddy Dhan",MUKTSAR,"Plant Protection",nan,AGRICULTURE,PUNJAB,":    HOW TO CONTROL OF BACTERIAL BLIGHT IN COTTON","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4692,74.5182
GIDDERBAHA,Cereals,2013,9,17,"Paddy Dhan",MUKTSAR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,":  HOW TO CONTROL OF BACTERIAL BLIGHT IN SUGARCANE","A:    SPRAY BLITOX 50  500 GM AGRIMYCIN 20 GM AND STREPTOCYCLINE 3 GM IN 200 LITRES OF WATER PER ACRE",30.4692,74.5182
GIDDERBAHA,Cereals,2013,9,19,"Paddy Dhan",MUKTSAR,"Plant Protection",JAYAD,AGRICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROP","THE CONTROL OF BACTERIAL BLIGHT  DISEASE IN COTTONNARMA CROPPLS SPRAY 500GM KOCIDECOPPER HYDROXICHLORIDE2PCS STREPTOCYCLENE IN 150LITRE WATERACRE",30.4692,74.5182
