BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
SHOPIAN,Fruits,2023,2,23,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding spray for leaf miner in this month in apple orchards","the farmer was advised that as there is no possibility of Leaf Miner in apple orchrds hence was advised to contact the nearest Horticulture department ",33.6649,75.163
DACHNIPORA,Fruits,2023,3,9,Apple,ANANTNAG,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding control of leaf miner ","Spray cypermethrin  150ml in 100 liter of water ",33.7461,75.1854
PULWAMA,Fruits,2023,3,8,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding control of Leaf miner ","Spray Cypermethrin  150 ml in 100 liter of water",33.949,75.0418
PULWAMA,Fruits,2023,3,10,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Farmer asked a query regarding leaf miner attack in an apple orchard","It is advised to farmer spray insecticide Cypermethrin 25 EC  125ml100 litre of water to control the leaf miner attack in an an apple orchard",33.949,75.0418
PULWAMA,Fruits,2023,3,20,Apple,PULWAMA,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","leaf miner","Egg stage and larval stage insects can be killed by use of Ovicidal insecticides like neem oil Azaal 2 mLL OR Activegold neem oil 2 mLL OR Neemark 2 mLL and translaminar mode of action insecticides like triazophos Trifos2 mLL  This spray also controls the adult flies",33.949,75.0418
QUIMOH,Fruits,2023,3,2,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding Control of Leaf Miner on Apple ","--Spray Cypermethrin  150 ml in 100 liter of water ",33.6447,75.0188
QUIMOH,Fruits,2023,3,2,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner in apple","the farmer was advised to spray Cypermethrin 25 EC  150 ml per 100 liter of water 1 week before HMO spray",33.6447,75.0188
QUIMOH,Fruits,2023,3,13,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Farmer asked a query regarding leaf miner attack in an apple orchard","Apple leaf blotch minerUse of pheromone traps is effective way to trap adult populationMonitoring and trapping of leaf miner by the use of pheromone baited traps can also be done Application of systemic insecticideslike Dimethoate 30EC  100ml  100L of water after petal fall Suppresses the pestApplications of insecticides areto be applied at the time of adulttrapped in pheromone baitedtraps  sticky traps The sprays should be undertakenbased on the adult emergencepest load as per recommendationsfrom SKUAST taking allPrecautionary measures",33.6447,75.0188
QUIMOH,Fruits,2023,3,15,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Control of Apple leaf miner","method of control is the use of insecticides There are several insecticides available that are effective against the ALBM including Cypermethrin 25 EC Thiamethoxam 25 WG Thiacloprid 217 SC Deltamethrin 28 EC Lambda Cyhalothrin etc However care must be taken when using insecticides to ensure that they are applied properly and at the appropriate time to be effectiveOne non-chemical method of control is the use of pheromone traps These traps contain a synthetic version of the sex pheromone produced by the female ALBM which attracts male moths to the trap By trapping and killing the male moths the population of ALBM can be reduced as fewer eggs will be laid on the treeCultural practices can also help to reduce the risk of infestation by the ALBM These practices include pruning the tree to improve air circulation and reduce the amount of shade on the leaves as the ALBM prefers to lay its eggs on shaded leaves In addition keeping the tree healthy through proper fertilization and irrigation can help to reduce its susceptibility to pests and diseases including the ALBM",33.6447,75.0188
SHOPIAN,Fruits,2023,3,6,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","Regarding control of leaf miner on Apple trees ","Spray Cypermethrin 25Ec  150ml in 100 liter of water ",33.6649,75.163
SHOPIAN,Fruits,2023,3,28,Apple,SHUPIYAN,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","regarding attack of apple blotch leaf miner in apple orchards","the farmer was advised to spray Cypermethrin 25 EC  150 ml per 100 liter of water",33.6649,75.163
BEERWAH,Fruits,2023,4,15,Apple,BADGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","SPRAY SCHEDULE FOR APPLE BLOTCH LEAF MINER","Need based for Insects:Dimethoate 30 EC 100 ml orQuinalphos 25 EC 100 ml orNeem oil 1500 ppm  300 ml followed by Lecanicillium lecanii 10 WP1x108CFU gm  500gm orMetarhizium anisopliae 10 WP 1x108CFU gm  500gmafter a gap of 4days For areas affected with apple blotc leaf miner:Installation of yellow sticky traps  1 trap 10 meters apart",34.0385,74.736
KULGAM,Fruits,2023,5,20,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF APPLE BLOTCH LEAF MINER","The farmer was advised to spray:Imidacloprid 178  SL  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterFlubendiamide 3935  sc  40 ml per 100 liter of waterFURTHER NO FUNGICIDE IS COMPATIBLE WITH THESE INSECTICIDES",33.6447,75.0188
KULGAM,Fruits,2023,5,27,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF APPLE BLOTCH LEAF MINER","The farmer was advised to spray:Imidachlorpid 178  SL  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterFlubendiamide 3935  sc  40 ml per 100 liter of water",33.6447,75.0188
KULGAM,Fruits,2023,5,27,Apple,KULGAM,"Plant Protection",nan,HORTICULTURE,"JAMMU AND KASHMIR","REGARDING ATTACK OF APPLE BLOTCH LEAF MINER","The farmer was advised to spray:Imidachlorpid 178  SL  30 ml per 100 liter of waterThiacloprid 217  sc  60 ml per 100 liter of waterFlubendiamide 3935  sc  40 ml per 100 liter of water",33.6447,75.0188
